,name,edited_files
0,e2c208da44743687d03662ba69f1351c72013cf9 (refs/remotes/phsn1015/phsn1015-patch-1),.github/workflows/python-package-conda.yml
1,da7e04c566f7db02623735ceb26f7d0b22a0c0fa (refs/remotes/Cragj/arena_submission_Goose),<ARENA>
2,87dcc6933cb52af40e59abdc49ca9dd6b4ffef04,<ARENA>
3,"f81b466c9a4d6db4a6f78b832767256a27cc5484 (refs/remotes/xuljw/master, refs/remotes/vigneshpp/master, refs/remotes/raydez/master, refs/remotes/nareshmiriyala/master, refs/remotes/juanfrank77/master, refs/remotes/jinyoung/master, refs/remotes/aleyden/master, refs/remotes/SEKHMET1Z/MAIN, refs/remotes/LiHaiLang33/master, refs/remotes/Elegant-Spider/master, refs/remotes/DNA2711/master, refs/remotes/AveraGeo20/master)",<ARENA>
4,b9ae2cfed7ebae34171aa7fbd54a873d18f6c1fd (refs/remotes/cileene/arena_submission_NickGPT),<ARENA>
5,a082dba28a9ca8aa61f0e35fb2a7e6e8c2e9abd5 (refs/remotes/Bear2Be2/arena_submission_ANIMA),<ARENA>
6,cdd1e095d345a802b7a2530dc1bc1a86320ff855,<markdown>
7,a7c3849fee1a9c44647e1154fd0e74cba4a66341,.github/workflows/triggers.yaml|.github/workflows/autopr.yaml|<ARENA>|test.yaml
8,87bdd05814f0f79a8bbd3b78265fef7d136d1701 (refs/remotes/NicoliniDevjunior/master),Untitled0.ipynb
9,"3da29eae45683457131ee8736bedae7e2a74fbba (refs/remotes/vassaf/master, refs/remotes/perng/master, refs/remotes/eaglelandsonce/master, refs/remotes/dayzmerollingggg/master, refs/remotes/cb4/master, refs/remotes/atharvaawatade/master, refs/remotes/aabhaskharel/master, refs/remotes/StephRas/master, refs/remotes/KingMilesKing/master, refs/remotes/Hani1-2/master, refs/remotes/EthannHongg/master, refs/remotes/Baptistecaille/master)",<ARENA>
10,40b3be22dce7fab44a74823fcb195b33ecf5a5e6,<ARENA>
11,019b907985396b41cbc0b56270832ed3183dfeb8,<ARENA>
12,221d6d1835461f04af828da54e266c98aae846f1 (refs/remotes/2660890854/master),facefusion.ipynb
13,eb8f724e919239db700c06709d1d1e6f7c32b8b4 (refs/remotes/abdllahdev/arena_submission_evo),<ARENA>
14,c71f050bde2586cea1b795ac5ec9de0d5bd5439a (refs/remotes/ShadpourBijan/master),Untitled3.ipynb
15,04814631846617d3c65343dfa124bb0b3f6bee5d (refs/remotes/glzito/arena_submission_GLEZITO),<ARENA>
16,338eb9c594b9e77cf82e98cd1df7ff34196ef413,<ARENA>
17,58649b399c2ad08d9110cd3c2c31ec30faeb6782,jarvis.py|DiscordInterpreter.py
18,d231fcb4fa22592553e544a617631a1690565c47 (refs/remotes/psybeen/arena_submission_freya),<ARENA>
19,a81de65912032d4d927d143e52ba7ebbfdffe565,<ARENA>
20,42ca293b6fe0b3a7eb196298aad1973f5765aea6 (refs/remotes/CarlVert23/arena_submission_ContractorFindGPT),<ARENA>
21,dc663373ace3f5086b40feb86798912ea6f9fc55 (refs/remotes/yodatech1988/yodatech1988-patch-1),<infra>
22,57130505a39dbec736ca6e444dbb485fb4e684a2 (refs/remotes/ifrasaleemcsengineer/arena_submission_AutoGPT),<ARENA>
23,cd49089be090a8206cfa4036c629b134c187a0cd (refs/remotes/sanjeevsaara/arena_submission_searchagent),<ARENA>
24,a824190f18c1bb07cea08e2944a2cc458426db14 (refs/remotes/loveyoumaxin/master),"...ured_data_ipynb\354\235\230_\354\202\254\353\263\270.ipynb"""
25,41bb4404db98b43dd388dc8d70c4cafd107391aa (refs/remotes/g1331/arena_submission_TestAgent1),<ARENA>
26,a6bcb9284bfe84a1a2d76c96c280046c0e3255f3 (refs/remotes/ShivamTi4F/master),<infra>|autogpts/myagent/.flake8|autogpts/myagent/.gitignore|autogpts/myagent/.pre-commit-config.yaml|<markdown>|autogpts/myagent/__init__.py|autogpts/myagent/advanced_commands/run_benchmark_dev|<reports>|autogpts/myagent/forge/__init__.py|autogpts/myagent/forge/__main__.py|autogpts/myagent/forge/agent.py|autogpts/myagent/forge/app.py|autogpts/myagent/forge/prompts/gpt-3.5-turbo/role_selection.j2|autogpts/myagent/forge/prompts/gpt-3.5-turbo/system-format.j2|autogpts/myagent/forge/prompts/gpt-3.5-turbo/task-step.j2|autogpts/myagent/forge/prompts/techniques/chain-of-thought.j2|autogpts/myagent/forge/prompts/techniques/expert.j2|autogpts/myagent/forge/prompts/techniques/few-shot.j2|autogpts/myagent/forge/sdk/__init__.py|autogpts/myagent/forge/sdk/abilities/__init__.py|autogpts/myagent/forge/sdk/abilities/file_system/files.py|autogpts/myagent/forge/sdk/abilities/finish.py|autogpts/myagent/forge/sdk/abilities/registry.py|autogpts/myagent/forge/sdk/agent.py|autogpts/myagent/forge/sdk/agent_test.py|autogpts/myagent/forge/sdk/ai_actions.py|autogpts/myagent/forge/sdk/ai_memory.py|autogpts/myagent/forge/sdk/ai_planning.py|autogpts/myagent/forge/sdk/ai_profile.py|autogpts/myagent/forge/sdk/db.py|autogpts/myagent/forge/sdk/db_test.py|autogpts/myagent/forge/sdk/errors.py|autogpts/myagent/forge/sdk/forge_log.py|autogpts/myagent/forge/sdk/llm.py|autogpts/myagent/forge/sdk/memory/__init__.py|autogpts/myagent/forge/sdk/memory/memstore.py|autogpts/myagent/forge/sdk/memory/memstore_test.py|autogpts/myagent/forge/sdk/middlewares.py|autogpts/myagent/forge/sdk/prompting.py|autogpts/myagent/forge/sdk/routes/__init__.py|autogpts/myagent/forge/sdk/routes/agent_protocol.py|autogpts/myagent/forge/sdk/schema.py|autogpts/myagent/forge/sdk/workspace.py|autogpts/myagent/forge/sdk/workspace_test.py|autogpts/myagent/mypy.ini|autogpts/myagent/run|autogpts/myagent/run_benchmark|autogpts/myagent/setup
27,02c32766240660213d30feb81b4fc13e43578c55 (refs/remotes/NeonN3mesis/NeonN3mesis-patch-1),autogpts/autogpt/autogpt/agents/agent.py
28,"766796ae1e8c07cf2a03b607621c3da6e1f01a31 (refs/remotes/zinkwazi/master, refs/remotes/zenkibomb/master, refs/remotes/yekamu/master, refs/remotes/x-debug/master, refs/remotes/wxthss82/master, refs/remotes/whitej27030/master, refs/remotes/wangblog0/master, refs/remotes/vshneer/master, refs/remotes/uply23333/master, refs/remotes/testaxb3/master, refs/remotes/stretchymantis/master, refs/remotes/steven-scdev/master, refs/remotes/steoja/master, refs/remotes/skrillexjorge9/master, refs/remotes/sinai-io/master, refs/remotes/shenjy24/master, refs/remotes/sdcharly/master, refs/remotes/sadlfi/master, refs/remotes/rsyi/master, refs/remotes/rezaostadi/master, refs/remotes/rayzh-lab/master, refs/remotes/purnellbp/master, refs/remotes/powellgithub/master, refs/remotes/ntindle/master, refs/remotes/noahdcline/master, refs/remotes/niteshmandall/master, refs/remotes/nickscamara/master, refs/remotes/mitas/master, refs/remotes/matt454/master, refs/remotes/longyhy/master, refs/remotes/kun1660/master, refs/remotes/jodricoj/master, refs/remotes/jackyluo-learning/master, refs/remotes/ivanlopes-spendesk/master, refs/remotes/hasiqueira0012/master, refs/remotes/hashexd/master, refs/remotes/hablajuanito/master, refs/remotes/gsinha-studioai/master, refs/remotes/gkl21/master, refs/remotes/ge-of/master, refs/remotes/exvertus/master, refs/remotes/eonward/master, refs/remotes/elynch303/master, refs/remotes/dave-cad/master, refs/remotes/binchensjtu/master, refs/remotes/bigsml/master, refs/remotes/baihongshi/master, refs/remotes/arkd0ng/master, refs/remotes/anderic/master, refs/remotes/alpaca-yak/master, refs/remotes/alimafi00900/master, refs/remotes/ai-by-humans/master, refs/remotes/ahlanlhw/master, refs/remotes/againeureka/master, refs/remotes/a0x8o/master, refs/remotes/Whispersofshadow/master, refs/remotes/ThmosXiong/master, refs/remotes/Sylvieluo070/master, refs/remotes/SlimeyJerm/master, refs/remotes/Shootmir/master, refs/remotes/SaikyouuL/master, refs/remotes/RiseBill/master, refs/remotes/MooharaDev/master, refs/remotes/Mindfullhedgy/master, refs/remotes/Mbrucegit/master, refs/remotes/Lizhinwafu/master, refs/remotes/LiveGhost/master, refs/remotes/L929333353/master, refs/remotes/Kainelust/master, refs/remotes/JacksonJeanPS/master, refs/remotes/Icety/master, refs/remotes/IGustavsen/master, refs/remotes/GwangSoo-Ko/master, refs/remotes/FutureProofTechnology/master, refs/remotes/FlyingAnt2018/master, refs/remotes/Digiclevr/master, refs/remotes/DayoWang/master, refs/remotes/DavidRTeal/master, refs/remotes/ChengzeHsiao/master, refs/remotes/Arthur-Heng/master, refs/remotes/AmirulAndalib/master, refs/remotes/AlencoPetrovic/master)",<ARENA>
29,20017c637fbc71c3c95a9ac5ba4989c41a1ed506 (refs/remotes/yanyuesheng/patch-1),AutoGPT
30,bbe3195db1b6d5f9b0da52e9822db5998e81c087 (refs/remotes/prockmanistan/master),.github/CODEOWNERS|.github/ISSUE_TEMPLATE/1.bug.yml|.github/ISSUE_TEMPLATE/2.feature.yml|<markdown>|.github/workflows/autogpt-ci.yml|.github/workflows/autogpt-docker-cache-clean.yml|.github/workflows/autogpt-docker-ci.yml|.github/workflows/autogpt-docker-release.yml|.github/workflows/autogpts-ci.yml|.github/workflows/benchmark-ci.yml|.github/workflows/benchmark_publish_package.yml|.github/workflows/benchmarks.yml|.github/workflows/build-frontend.yml|.github/workflows/close-stale-issues.yml|.github/workflows/pr-label.yml|.github/workflows/repo-stats.yml|.github/workflows/scripts/docker-ci-summary.sh|.github/workflows/scripts/docker-release-summary.sh
31,0085e7deb4e5b7c0fc34208f9eb79d9ece0e1dbf (refs/remotes/desiyonan/arena_submission_currentUserInfoAgent),<ARENA>|<infra>|autogpts/currentUserInfoAgent/.flake8|autogpts/currentUserInfoAgent/.gitignore|autogpts/currentUserInfoAgent/.pre-commit-config.yaml|<markdown>|autogpts/currentUserInfoAgent/__init__.py|.../currentUserInfoAgent/advanced_commands/run_benchmark_dev|<reports>|autogpts/currentUserInfoAgent/forge/__init__.py|autogpts/currentUserInfoAgent/forge/__main__.py|autogpts/currentUserInfoAgent/forge/agent.py|autogpts/currentUserInfoAgent/forge/app.py|autogpts/currentUserInfoAgent/forge/db.py|.../forge/prompts/gpt-3.5-turbo/role_selection.j2|.../forge/prompts/gpt-3.5-turbo/system-format.j2|.../forge/prompts/gpt-3.5-turbo/task-step.j2|.../forge/prompts/techniques/chain-of-thought.j2|.../currentUserInfoAgent/forge/prompts/techniques/expert.j2|.../currentUserInfoAgent/forge/prompts/techniques/few-shot.j2|autogpts/currentUserInfoAgent/forge/sdk/__init__.py|autogpts/currentUserInfoAgent/forge/sdk/abilities/__init__.py|.../forge/sdk/abilities/file_system/files.py|autogpts/currentUserInfoAgent/forge/sdk/abilities/finish.py|autogpts/currentUserInfoAgent/forge/sdk/abilities/registry.py|.../currentUserInfoAgent/forge/sdk/abilities/web/web_search.py|.../forge/sdk/abilities/web/web_selenium.py|autogpts/currentUserInfoAgent/forge/sdk/agent.py|autogpts/currentUserInfoAgent/forge/sdk/agent_test.py|autogpts/currentUserInfoAgent/forge/sdk/db.py|autogpts/currentUserInfoAgent/forge/sdk/db_test.py|autogpts/currentUserInfoAgent/forge/sdk/errors.py|autogpts/currentUserInfoAgent/forge/sdk/forge_log.py|autogpts/currentUserInfoAgent/forge/sdk/llm.py|autogpts/currentUserInfoAgent/forge/sdk/memory/__init__.py|.../currentUserInfoAgent/forge/sdk/memory/chroma_memstore.py|autogpts/currentUserInfoAgent/forge/sdk/memory/memstore.py|.../currentUserInfoAgent/forge/sdk/memory/memstore_test.py|autogpts/currentUserInfoAgent/forge/sdk/middlewares.py|autogpts/currentUserInfoAgent/forge/sdk/prompting.py|autogpts/currentUserInfoAgent/forge/sdk/routes/__init__.py|.../currentUserInfoAgent/forge/sdk/routes/agent_protocol.py|autogpts/currentUserInfoAgent/forge/sdk/schema.py|autogpts/currentUserInfoAgent/forge/sdk/workspace.py|autogpts/currentUserInfoAgent/forge/sdk/workspace_test.py|autogpts/currentUserInfoAgent/mypy.ini|autogpts/currentUserInfoAgent/run|autogpts/currentUserInfoAgent/run_benchmark|autogpts/currentUserInfoAgent/setup|shell.nix
32,727f516024d72f6e286920c30421e998dbce8c3a,<markdown>
33,e1e286d87c96ef0b21464d937b4e66e4a9082501 (refs/remotes/WilliamEspegren/small_typo),autogpts/autogpt/autogpt/app/main.py
34,d6e355c88cfba21d21bb9260179c41134e1f16a8 (refs/remotes/TheoLawrence86/arena_submission_TLGPT),<ARENA>
35,b82afcf625178eaddcf876bdaef46e169ad24dbc,<markdown>|<infra>|autogpts/Theseus/.flake8|autogpts/Theseus/.gitignore|autogpts/Theseus/.pre-commit-config.yaml|autogpts/Theseus/__init__.py|autogpts/Theseus/agent.db|autogpts/Theseus/mypy.ini|autogpts/Theseus/run|autogpts/Theseus/run_benchmark|autogpts/Theseus/setup|autogpts/Theseus/azure.yaml
36,80b405023023eff426e0ec2c45c7bc9de17f26ed (refs/remotes/Moehre233/master),<reports>
37,0a34145e5170fe36c2aa955345af758d2b4ebe7b (refs/remotes/dan-fikad/arena_submission_test-agent),<ARENA>
38,4653ac32e065f80e546c6e99263a6246856e603c,<ARENA>
39,5e27fef0e4b01e516f072027b9e90e6c66a35ea1,<ARENA>
40,a67f1cbd1e555eb6f4f7d115f091e671fe0ae5c6 (refs/remotes/SEKHMET1Z/SEKHMET1Z-patch-1),.github/dependabotz.yml
41,d118383b6bc7563e36ad9426c519b0a1d975b118 (refs/remotes/Provooe/master),get-pip.py
42,8ae39a95dbde6df919cbfb3aea35bf653ea84aec,<ARENA>
43,92d3eaa7065c7ae0bd6462cf5441b388247d46cb,<ARENA>
44,9e30b4993ac49086e7bd6998b3b59b31f71f25d3 (refs/remotes/M01Anderson/arena_submission_DevilGPT),<ARENA>
45,26663f9da64b22f2038ebb58eac53c0940499a7b (refs/remotes/Fleet-to-Force/Fleet-to-Force-patch-1),frontend/.gitignore|<infra>
46,213589960629496d0c274d42a39059bf7a6774d9 (refs/remotes/SebMillerAI/arena_submission_TestAgent2),<ARENA>
47,bc4257dc1ef9c252d24602b27e5e4329609fbcc0,<ARENA>
48,17bdba8d1889aa5fe19ef59cb8e6b98f33df6363,<infra>
49,f12b4fcae751e4f3252e99273899318fb88c59ec (refs/remotes/jamez192/arena_submission_james192),<ARENA>
50,4d2c0828cb446c0825ceb1918b125ac11c96f1df (refs/remotes/acdc00/patch-1),<markdown>
51,0b13109d2e8442da8777febb96900f43b9639bef (refs/remotes/haoblackj/arena_submission_homoe4-Agent),<ARENA>
52,043ee68a738ae1b4c8243f76c9fb178a2e5c1d4a (refs/remotes/SteveKleenex/arena_submission_KC),<ARENA>
53,f2a0fffc32cc2f63580f0678cd53824ef2e90459 (refs/remotes/chymian/arena_submission_test_me),<ARENA>
54,33a582b7673189c5e74fea3ed6628f8210749f56 (refs/remotes/perng/arena_submission_bookwriting),<ARENA>
55,8ee59101dbc8bba8069676dda4d6ec85e3ff65ed,ai_settings.yaml|<ARENA>
56,"73ef89e03a719ec1b2f01b0f04e9b1f64ffb2a7d (refs/remotes/syndevil/master, refs/remotes/seacrest/master, refs/remotes/planetdestoryer/master, refs/remotes/nhtest4/master, refs/remotes/mattsinnock/master, refs/remotes/ifdst/master, refs/remotes/Callmeola12/master)",<ARENA>
57,a534102d59a17472a097bd573be59d7c74c449ae,autogpts/autogpt/autogpt/prompts/default_prompts.py|autogpts/autogpt/autogpt/prompts/prompt.py|autogpts/autogpt/tourist_profile.txt|autogpts/autogpt/autogpt/agents/base.py|autogpts/autogpt/autogpt/commands/web_search.py|autogpts/autogpt/autogpt/commands/times.py|autogpts/autogpt/nbs/Untitled.ipynb|<infra>|autogpts/autogpt/autogpt/agents/agent.py|autogpts/autogpt/autogpt/app/configurator.py|autogpts/autogpt/autogpt/commands/execute_code copy.py|autogpts/autogpt/autogpt/config/config.py|autogpts/autogpt/autogpt/core/planning/simple.py|.../autogpt/autogpt/core/resource/model_providers/openai.py|autogpts/autogpt/nbs/wiki.txt|autogpts/autogpt/autogpt/commands/__init__.py|autogpts/autogpt/data/.keep|autogpts/autogpt/autogpt/commands/file_operations.py|autogpts/autogpt/autogpt/commands/git_operations.py|autogpts/autogpt/autogpt/commands/image_gen.py|autogpts/autogpt/autogpt/commands/web_selenium.py|autogpts/TRAVEL_AGENT/forge/agent.py|autogpts/TRAVEL_AGENT/forge/sdk/abilities/registry.py|.../TRAVEL_AGENT/forge/sdk/abilities/websearch/websearch.py|autogpts/TRAVEL_AGENT/forge/sdk/abilities/websearch/websearch.py|autogpts/TRAVEL_AGENT/.flake8|autogpts/TRAVEL_AGENT/.gitignore|autogpts/TRAVEL_AGENT/.pre-commit-config.yaml|<markdown>|autogpts/TRAVEL_AGENT/__init__.py|autogpts/TRAVEL_AGENT/advanced_commands/run_benchmark_dev|<reports>|autogpts/TRAVEL_AGENT/forge/__init__.py|autogpts/TRAVEL_AGENT/forge/__main__.py|autogpts/TRAVEL_AGENT/forge/app.py|.../TRAVEL_AGENT/forge/prompts/gpt-3.5-turbo/role_selection.j2|.../TRAVEL_AGENT/forge/prompts/gpt-3.5-turbo/system-format.j2|autogpts/TRAVEL_AGENT/forge/prompts/gpt-3.5-turbo/task-step.j2|.../TRAVEL_AGENT/forge/prompts/techniques/chain-of-thought.j2|autogpts/TRAVEL_AGENT/forge/prompts/techniques/expert.j2|autogpts/TRAVEL_AGENT/forge/prompts/techniques/few-shot.j2|autogpts/TRAVEL_AGENT/forge/sdk/__init__.py|autogpts/TRAVEL_AGENT/forge/sdk/abilities/__init__.py|autogpts/TRAVEL_AGENT/forge/sdk/abilities/file_system/files.py|autogpts/TRAVEL_AGENT/forge/sdk/abilities/finish.py|autogpts/TRAVEL_AGENT/forge/sdk/agent.py|autogpts/TRAVEL_AGENT/forge/sdk/agent_test.py|autogpts/TRAVEL_AGENT/forge/sdk/ai_actions.py|autogpts/TRAVEL_AGENT/forge/sdk/ai_memory.py|autogpts/TRAVEL_AGENT/forge/sdk/ai_planning.py|autogpts/TRAVEL_AGENT/forge/sdk/ai_profile.py|autogpts/TRAVEL_AGENT/forge/sdk/db.py|autogpts/TRAVEL_AGENT/forge/sdk/db_test.py|autogpts/TRAVEL_AGENT/forge/sdk/errors.py|autogpts/TRAVEL_AGENT/forge/sdk/forge_log.py|autogpts/TRAVEL_AGENT/forge/sdk/llm.py|autogpts/TRAVEL_AGENT/forge/sdk/memory/__init__.py|autogpts/TRAVEL_AGENT/forge/sdk/memory/chroma_memstore.py|autogpts/TRAVEL_AGENT/forge/sdk/memory/memstore.py|autogpts/TRAVEL_AGENT/forge/sdk/memory/memstore_test.py|autogpts/TRAVEL_AGENT/forge/sdk/middlewares.py|autogpts/TRAVEL_AGENT/forge/sdk/prompting.py|autogpts/TRAVEL_AGENT/forge/sdk/routes/__init__.py|autogpts/TRAVEL_AGENT/forge/sdk/routes/agent_protocol.py|autogpts/TRAVEL_AGENT/forge/sdk/schema.py|autogpts/TRAVEL_AGENT/forge/sdk/workspace.py|autogpts/TRAVEL_AGENT/forge/sdk/workspace_test.py|autogpts/TRAVEL_AGENT/mypy.ini|autogpts/TRAVEL_AGENT/run|autogpts/TRAVEL_AGENT/run_benchmark|autogpts/TRAVEL_AGENT/setup
